instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
gen400_p0.9_65,tuning,2,2.73777,-65.0,0.01,1.0,True
gen400_p0.9_65,tuned,20,6.50545,-65.0,0.02,0.0,True
gen400_p0.9_65,tuning,2,2.76952,-65.0,0.01,1.0,True
gen400_p0.9_65,tuned,50,8.45232,-65.0,0.02,0.0,True
gen400_p0.9_75,tuning,2,2.80849,-75.0,0.02,10.0,True
gen400_p0.9_75,tuned,1,5.53764,-75.0,0.02,10.0,True
gen400_p0.9_75,tuning,2,2.87262,-75.0,0.02,10.0,True
gen400_p0.9_75,tuned,2,5.68928,-75.0,0.02,10.0,True
gen400_p0.9_75,tuning,2,2.77963,-75.0,0.02,10.0,True
gen400_p0.9_75,tuned,5,5.49576,-75.0,0.02,10.0,True
gen400_p0.9_75,tuning,2,2.81075,-75.0,0.02,10.0,True
gen400_p0.9_75,tuned,10,5.89605,-75.0,0.02,10.0,True
gen400_p0.9_75,tuning,2,2.87104,-75.0,0.02,10.0,True
gen400_p0.9_75,tuned,20,6.55319,-75.0,0.02,10.0,True
gen400_p0.9_75,tuning,2,2.85948,-75.0,0.02,10.0,True
gen400_p0.9_75,tuned,50,8.50944,-75.0,0.02,10.0,True
hamming10-2,tuning,2,3.04037,-512.0,0.002,50.0,True
hamming10-2,tuned,1,5.79261,-512.0,0.002,50.0,True
hamming10-2,tuning,2,2.80805,-512.0,0.002,50.0,True
hamming10-2,tuned,2,5.58797,-512.0,0.002,50.0,True
hamming10-2,tuning,2,2.86762,-512.0,0.002,50.0,True
hamming10-2,tuned,5,6.13143,-512.0,0.002,50.0,True
hamming10-2,tuning,2,2.78534,-512.0,0.002,50.0,True
hamming10-2,tuned,10,6.82527,-512.0,0.002,50.0,True
hamming10-2,tuning,2,2.83459,-512.0,0.002,50.0,True
hamming10-2,tuned,20,8.50284,-512.0,0.002,50.0,True
hamming10-2,tuning,2,2.85603,-512.0,0.002,50.0,True
hamming10-2,tuned,50,13.47185,-512.0,0.002,50.0,True
hamming6-2,tuning,2,2.75697,-32.0,0.002,1.0,True
hamming6-2,tuned,1,5.56897,-32.0,0.002,1.0,True
hamming6-2,tuning,2,2.85007,-32.0,0.002,1.0,True
hamming6-2,tuned,2,5.71031,-32.0,0.002,1.0,True
hamming6-2,tuning,2,2.82123,-32.0,0.002,1.0,True
hamming6-2,tuned,5,5.57358,-32.0,0.002,1.0,True
hamming6-2,tuning,2,2.78385,-32.0,0.002,1.0,True
hamming6-2,tuned,10,5.54975,-32.0,0.002,1.0,True
hamming6-2,tuning,2,2.8067,-32.0,0.002,1.0,True
hamming6-2,tuned,20,5.58277,-32.0,0.002,1.0,True
hamming6-2,tuning,2,2.78627,-32.0,0.002,1.0,True
hamming6-2,tuned,50,5.89135,-32.0,0.002,1.0,True
hamming8-2,tuning,2,2.83252,-128.0,0.002,20.0,True
hamming8-2,tuned,1,5.65841,-128.0,0.002,50.0,True
hamming8-2,tuning,2,2.76448,-128.0,0.002,20.0,True
hamming8-2,tuned,2,5.5122,-128.0,0.002,50.0,True
