,instance,process,time,value,constraint satisfaction,best known solution
434,nug27,QUBO,0.71004,7012.0,True,5234
435,nug27,QUBO,0.7356,6140.0,True,5234
436,nug27,QUBO,0.78575,6004.0,True,5234
437,nug27,QUBO,5.76297,5948.0,True,5234
438,nug27,QUBO,9.09165,5902.0,True,5234
439,nug27,QUBO,10.37574,5680.0,True,5234
440,nug27,QUBO,12.06863,5654.0,True,5234
441,nug27,QUBO,12.09743,5596.0,True,5234
442,nug27,QUBO,16.16489,5596.0,True,5234
443,nug28,MILP,0.01465,6790.0,True,5166
444,nug28,MILP,1.34006,6754.0,True,5166
445,nug28,MILP,1.34227,6612.0,True,5166
446,nug28,MILP,1.34417,6436.0,True,5166
447,nug28,MILP,3.69449,5922.0,True,5166
448,nug28,MILP,4.95323,5902.0,True,5166
449,nug28,MILP,10.08885,5890.0,True,5166
450,nug28,MILP,10.09157,5874.0,True,5166
451,nug28,MILP,10.09344,5786.0,True,5166
452,nug28,MILP,13.43964,5676.0,True,5166
453,nug28,MILP,17.55162,5626.0,True,5166
454,nug28,MIQP,0.00185,6790.0,True,5166
455,nug28,MIQP,3.06542,6732.0,True,5166
456,nug28,MIQP,3.21401,6276.0,True,5166
457,nug28,MIQP,4.47828,5942.0,True,5166
458,nug28,MIQP,7.39627,5828.0,True,5166
459,nug28,MIQP,7.40157,5806.0,True,5166
460,nug28,MIQP,7.40758,5776.0,True,5166
461,nug28,MIQP,7.41052,5652.0,True,5166
462,nug28,MIQP,15.07559,5644.0,True,5166
463,nug28,MIQP,17.39216,5544.0,True,5166
464,nug28,QUBO,0.0036,36121.34,False,5166
465,nug28,QUBO,0.80472,6990.0,True,5166
466,nug28,QUBO,0.83415,5726.0,True,5166
467,nug28,QUBO,5.44937,5676.0,True,5166
468,nug28,QUBO,17.51908,5676.0,True,5166
469,nug30,MILP,0.0182,7976.0,True,6124
470,nug30,MILP,0.85802,7924.0,True,6124
471,nug30,MILP,1.58374,7772.0,True,6124
472,nug30,MILP,1.87022,7770.0,True,6124
473,nug30,MILP,1.90389,7722.0,True,6124
474,nug30,MILP,2.71576,7232.0,True,6124
475,nug30,MILP,5.97998,7208.0,True,6124
476,nug30,MILP,7.1622,7022.0,True,6124
477,nug30,MILP,11.56559,7014.0,True,6124
478,nug30,MILP,11.56923,6952.0,True,6124
479,nug30,MILP,16.63013,6716.0,True,6124
480,nug30,MILP,16.72371,6696.0,True,6124
481,nug30,MILP,19.28394,6696.0,True,6124
482,nug30,MIQP,0.00513,7976.0,True,6124
483,nug30,MIQP,4.871,7634.0,True,6124
484,nug30,MIQP,4.9223,7444.0,True,6124
485,nug30,MIQP,4.98009,7226.0,True,6124
486,nug30,MIQP,5.11976,6998.0,True,6124
487,nug30,MIQP,7.30569,6774.0,True,6124
488,nug30,MIQP,12.44196,6770.0,True,6124
489,nug30,MIQP,12.44506,6742.0,True,6124
490,nug30,MIQP,12.44758,6684.0,True,6124
491,nug30,MIQP,12.4504,6578.0,True,6124
492,nug30,MIQP,19.27045,6578.0,True,6124
493,nug30,QUBO,0.00222,39721.15,False,6124
494,nug30,QUBO,1.08281,8070.0,True,6124
495,nug30,QUBO,1.12094,6934.0,True,6124
496,nug30,QUBO,1.1957,6922.0,True,6124
497,nug30,QUBO,8.00069,6822.0,True,6124
498,nug30,QUBO,11.87567,6770.0,True,6124
499,nug30,QUBO,17.77353,6752.0,True,6124
500,nug30,QUBO,17.81467,6694.0,True,6124
501,nug30,QUBO,17.8556,6682.0,True,6124
502,nug30,QUBO,17.89626,6640.0,True,6124
503,nug30,QUBO,17.93656,6622.0,True,6124
