instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff,best known solution
tai80a,tuned,2,7.57029,14229446.0,0.002,3.0,True,1,13499184
tai80a,tuned,5,10.55483,13953560.0,0.002,10.0,True,1,13499184
tai80a,tuned,10,15.78667,13748904.0,0.002,7.5,True,1,13499184
tai80a,tuned,20,25.81482,13694992.0,0.002,3.0,True,1,13499184
tai80a,tuned,50,56.67931,13650246.0,0.0035,3.5,True,1,13499184
tai100a,tuning,2,5.14235,22112480.0,0.02,5.0,True,1,21044752
tai100a,tuned,2,9.63892,22112480.0,0.02,5.0,True,1,21044752
tai100a,tuned,5,14.48414,21699428.0,0.002,7.5,True,1,21044752
tai100a,tuned,10,22.47114,21448378.0,0.002,5.0,True,1,21044752
tai100a,tuned,20,38.45383,21266776.0,0.002,6.0,True,1,21044752
tai100a,tuned,50,87.00363,21196340.0,0.002,1.0,True,1,21044752
tai150b,tuning,2,10.19902,507454016.0,0.002,1.0,True,1,498896643
tai150b,tuned,2,26.59952,504447200.0,0.002,1.0,True,1,498896643
tai150b,tuned,5,49.00121,505052416.0,0.002,5.5,True,1,498896643
tai150b,tuned,10,86.31956,503662176.0,0.002,3.0,True,1,498896643
tai150b,tuned,20,161.05338,503813120.0,0.0035,3.5,True,1,498896643
tai150b,tuned,50,385.77727,503631360.0,0.002,3.5,True,1,498896643
tho30,tuning,2,1.74689,159684.0,0.02,5.0,True,1,149936
tho30,tuned,2,3.42278,156842.0,0.02,1.0,True,1,149936
tho30,tuned,5,3.87499,154540.0,0.015,0.5,True,1,149936
tho30,tuned,10,4.60853,153230.0,0.01,0.0,True,1,149936
tho30,tuned,20,5.97705,152198.0,0.015,1.0,True,1,149936
tho30,tuned,50,10.20512,151476.0,0.015,0.0,True,1,149936
tho40,tuning,2,2.03014,254074.0,0.005,0.0,True,1,240516
tho40,tuned,2,3.93812,245118.0,0.002,1.0,True,1,240516
tho40,tuned,5,4.71015,243680.0,0.011,0.5,True,1,240516
tho40,tuned,10,6.00058,242818.0,0.01,0.0,True,1,240516
tho40,tuned,20,8.49434,241610.0,0.005,0.0,True,1,240516
tho40,tuned,50,16.33511,242334.0,0.0035,0.5,True,1,240516
tho150,tuning,2,11.14666,8235540.0,0.002,0.0,True,1,8133398
tho150,tuned,2,27.55768,8235540.0,0.002,0.0,True,1,8133398
tho150,tuned,5,49.88259,8219582.0,0.002,0.0,True,1,8133398
tho150,tuned,10,87.04939,8221460.0,0.002,1.0,True,1,8133398
tho150,tuned,20,161.58419,8224330.0,0.0035,0.0,True,1,8133398
tho150,tuned,50,385.01235,8204086.0,0.002,1.0,True,1,8133398
wil50,tuning,2,2.45286,49752.0,0.002,1.0,True,1,48816
wil50,tuned,2,4.68687,49752.0,0.002,1.0,True,1,48816
wil50,tuned,5,5.95641,49394.0,0.002,0.0,True,1,48816
wil50,tuned,10,7.95808,49358.0,0.002,1.0,True,1,48816
wil50,tuned,20,11.99164,49124.0,0.002,0.0,True,1,48816
wil50,tuned,50,24.12855,48970.0,0.002,0.5,True,1,48816
wil100,tuning,2,5.74984,276068.0,0.002,0.0,True,1,273038
wil100,tuned,2,10.49522,275274.0,0.002,3.0,True,1,273038
wil100,tuned,5,15.47215,275110.0,0.002,7.5,True,1,273038
wil100,tuned,10,23.6821,274840.0,0.002,0.5,True,1,273038
wil100,tuned,20,40.05263,274530.0,0.002,1.0,True,1,273038
wil100,tuned,50,89.23503,274488.0,0.002,1.5,True,1,273038
